word,reading,meanings,level,example_ja,example_en
あいかわらず,,as ever; as usual; the same,N2,彼はあいかわらず丈夫だ。,He is as strong as ever.
アイデア/アイディア,,idea,N2,,
あいまい,,vague; ambiguous,N2,彼の説明はあいまいだ。,His explanation is not clear.
あかんぼう,,baby,N2,,
あきれる,,to be amazed; to be shocked,N2,結婚が聞いてあきれる！,You call that a marriage?
アクセント,,accent,N2,この語のアクセントはどこにあるか。,How is the word accented?
あくび,,yawn,N2,あくびをした。,I yawned.
あげる (=やる),,to do for,N2,,
あたりまえ,,usual; common; ordinary,N2,,
あちらこちら,,here and there,N2,彼の目はあちらこちらに動いた。,His eyes went to and fro.
あてはまる,,to be applicable; to come under (a category); to fulfill,N2,,
あてはめる,,to apply; to adapt,N2,,
あぶる,,to scorch,N2,,
あふれる,,to flood; to overflow; to brim over,N2,春になると川がここであふれる。,Every spring the river floods here.
あらすじ,,outline; summary,N2,,
あれこれ,,one thing or another; this and that; this or that,N2,,
あわただしい,,busy; hurried; confused; flurried,N2,,
あわてる,,to become confused,N2,,
アンテナ,,antenna,N2,テレビアンテナが昨夜のあらしでとれた。,The TV antenna broke away in last night's storm.
いきなり,,(uk) abruptly; suddenly; all of a sudden; without warning,N2,,
イコール,,equal,N2,彼らは宗教イコール教会に行くことだと考えている。,They equate religion with church-going.
いちいち,,one by one; separately,N2,いちいちうるさいな！,I wish you'd stop being so fussy!
いつのまにか,,before one knows; unnoticed; unawares,N2,,
いよいよ,,more and more; all the more; increasingly; at last; beyond doubt,N2,,
インキ,,ink,N2,印刷インキが不足している。,Printing ink is in short supply.
インタビュー,,interview,N2,インタビューは嫌いです。,I hate interviews.
ウーマン,,woman,N2,彼女はウーマンリブ運動の指導者だと言われている。,She is said to be a leader in the women's liberation movement.
ウール,,wool,N2,ウールは染色しやすい。,Wool takes a dye well.
ウエートレス,,waitress,N2,ウエートレスはテーブルの上に白いテーブルクロスをかけた。,The waitress spread a white cloth over the table.
うっかり,,carelessly; thoughtlessly; inadvertently,N2,うっかり留守にできない。,I cannot leave home even for a moment.
うどん,,noodles (Japanese),N2,うどんでも食べませんか？,Would you like to eat some udon?
うろうろ,,loiteringly; aimless wandering,N2,今日一日当ても無くうろうろした。,I wandered about aimlessly all day.
うんと,,a great deal; very much,N2,うんと言ってよ。,Just say yes.
ええと,,let me see; well; er....,N2,ええと。。。,Er...
エチケット,,etiquette,N2,それはエチケットの問題だ。,It's a matter of etiquette.
エプロン,,apron,N2,エプロン買うほど料理しない。,I don’t cook enough to need to buy an apron.
オイル,,oil; engine oil; kerosene,N2,オリーブオイルを足して。,Add some olive oil.
オーケストラ,,orchestra,N2,指揮者はオーケストラの指揮をする。,A conductor directs an orchestra.
おおざっぱ,,rough (not precise); broad; sketchy,N2,おおざっぱに言うと、英国の季節も日本のものとほとんど同じだ。,"Roughly speaking, the seasons in England correspond with those in Japan."
オートメーション,,automation,N2,生産性はオートメーションの徹底によって向上する。,Production improves by becoming more automatic.
おかげさまで,,Thanks to god; thanks to you,N2,おかげさまで元気です。,"I'm fine, thank you."
おかず,,side dish; accompaniment for rice dishes,N2,今晩のおかずは魚だ。,Today's dinner is fish.
おくさん,,(hon) wife; your wife; madam,N2,,
おさきに,,before; ahead; previously,N2,,
おじゃまします,,Excuse me for disturbing you,N2,,
おしゃれ,,smartly dressed; someone smartly dressed; fashion-conscious,N2,おしゃれな手袋ですね。,Those are nice gloves you have on.
おだいじに,,Take care of yourself,N2,,
おどかす,,to threaten; to coerce,N2,,
おととい,,day before yesterday,N2,おとといきやがれ！,Don't you ever come here again!
おととし,,year before last,N2,,
おとなしい,,obedient; docile; quiet,N2,彼は性格がおとなしい。,He has a mild nature.
おねがいします,,please,N2,よろしくおねがいします。,I'm looking forward to working with you.
おはよう,,(abbr) Good morning,N2,おはよう諸君。,"Good morning, everyone."
おまたせしました,,Sorry to have kept you waiting,N2,,
おまちください,,Please wait a moment,N2,少々おまちください。,"Hold on a minute, please."
おまちどおさま,,Sorry to have kept you waiting,N2,,
おめでたい,,happy event; matter for congratulation; auspicious event; pregnancy,N2,あいつは本当におめでたい人間だ。,He is really a perfect idiot.
おやすみ,,(1) holiday; absence; rest; (2) (exp) Good night,N2,おやすみなさい。,Good night!
おやつ,,(1) between meal snack; afternoon refreshment,N2,おやつはどう？,How about a snack?
オルガン,,organ,N2,オルガンは弾けますか？,Can you play the organ?
お帰り,おかえり,return; welcome,N2,お帰りなさい。,Welcome home.
お参り,おまいり,worship; shrine visit,N2,元旦には近所の神社にお参りする人が多い。,"On New Year's Day, many people visit neighborhood shrines."
お手伝いさん,おてつだいさん,maid,N2,私はあなたのお手伝いさんじゃありません。,I'm not your maid.
お代わり,おかわり,second helping; another cup,N2,水のお代わりを下さい。,I would like some more water.
カーブ,,(1) curve; (2) curve ball (baseball),N2,彼は右に急カーブした。,He made a sharp turn to the right.
かしこまりました,,certainly!,N2,かしこまりました。,I understand.
かじる,,to chew; to bite (at); to gnaw; to nibble,N2,,
カセット,,cassette (tape),N2,このカセット、聴いてみようよ。,Let's listen to this cassette.
カバー,,cover (ex. book),N2,彼は車にカバーを被せた。,He put a cover over his car.
ガム,,chewing gum,N2,ガム持ってない？,Do you have any gum?
かゆい,,itchy; itching,N2,頭がかゆい。,My head is itchy.
カラー,,collar; color; colour,N2,カラーフィルムを一本ください。,I want a roll of color film for prints.
からかう,,to ridicule; to tease; to banter with; to make fun of,N2,彼らをからかうな。,Don't make fun of them.
かるた,,(n) playing cards (pt: carta),N2,,
カロリー,,calorie,N2,水は０カロリーです。,Water has zero calories.
かわいがる,,to love; to be affectionate,N2,,
きっかけ,,chance; start; cue; excuse,N2,,
ぎっしり,,tightly; fully,N2,彼は棚に本をぎっしり詰め込んだ。,He crowded the books into the shelves.
ギャング,,gang,N2,ギャングの一団が金を盗んだ。,A group of gangsters stole money.
キャンパス,,campus,N2,キャンパスを案内してもらえますか。,Could you show me the campus?
クーラー,,cooler; air conditioner,N2,クーラーつけすぎ。,The air conditioner is being used too much.
くしゃみ,,sneeze,N2,くしゃみしっぱなし。,I'm always sneezing.
くたびれる,,to get tired; to wear out,N2,,
くだらない,,good-for-nothing; stupid; trivial; worthless,N2,くだらない質問だな。,That's a stupid question.
くっつく,,to adhere to; to keep close to,N2,泥が私の靴にくっつく。,Mud clings to my shoes.
くっつける,,to attach,N2,,
くどい,,verbose; importunate; heavy (taste),N2,あくどい事をするな。,Don't do wicked things.
クリーニング,,cleaning; dry cleaning; laundry service,N2,クリーニング屋はどこですか？,Where is the laundry?
くるむ,,to be engulfed in; to be enveloped by; to wrap up,N2,,
くれぐれも,,repeatedly; sincerely; earnestly,N2,くれぐれもお体をお大事に。,Please take good care of yourself.
けれど/けれども,,but; however,N2,,
こうして,こうして,thus,N2,こうして彼は成功した。,Thus he succeeded.
コース,,course,N2,車はコースをはずれた。,The car veered from its course.
コーラス,,chorus,N2,誰がコーラスを指揮しますか。,Who leads the chorus?
ごくろうさま,,Thank you very much for your....,N2,ごくろうさまでした。,Thanks for the hard work.
こしらえる,,to make; to manufacture,N2,,
ごちそうさま,,feast,N2,ごちそうさま。,I'm done.
こちらこそ,,it is I who should say so,N2,こちらこそ。,The pleasure is mine.
コック,,(1) cook (nl:); (2) tap; spigot; faucet; cock,N2,私はコックです。,I am a cook.
こっそり,,stealthily; secretly,N2,こっそり家に忍び込む。,I steal into the house.
こないだ,,the other day; lately; recently,N2,こないだ彼に会った。,I met him the other day.
こぼす,,to spill,N2,僕はもう君がぐちをこぼすのを聞き飽きている。,I'm getting sick of hearing you complain.
こぼれる,,to overflow; to spill,N2,,
ゴム,,gum; rubber; eraser,N2,消しゴム返してよ。,Give me back my eraser.
ごめんください,,May I come in?,N2,ごめんください。どなたかいらっしゃいませんか？,Excuse me. Is anyone home?
